"","X","Ess","Length","PSum","fEss"
"145",145,0.8,45,0.62401105799601,0.621255980340406
"146",146,0.8,40,0.624011057092915,0.621163061106359
"147",147,0.8,35,0.624011047077445,0.621043593519727
"148",148,0.8,30,0.624010936004144,0.620884303404218
"149",149,0.8,25,0.624009704178156,0.620661297242505
"150",150,0.8,20,0.623996042501083,0.620326787999936
"151",151,0.8,15,0.623844468516325,0.619769272595654
"152",152,0.8,10,0.622155607358039,0.61865424178709
"153",153,0.8,5,0.602433497428213,0.615309149361397
"154",154,0.85,45,0.643207576679539,0.637770413660058
"155",155,0.85,40,0.643207575785972,0.637675479372795
"156",156,0.85,35,0.643207565876155,0.637553421003457
"157",157,0.85,30,0.643207455974576,0.637390676511006
"158",158,0.85,25,0.643206237143103,0.637162834221575
"159",159,0.85,20,0.643192719568945,0.636821070787428
"160",160,0.85,15,0.643042742668097,0.636251465063849
"161",161,0.85,10,0.641371463305751,0.635112253616693
"162",162,0.85,5,0.621827531706076,0.631694619275223
"163",163,0.9,45,0.661059402608879,0.653209117004812
"164",164,0.9,40,0.661059401727797,0.653112357504346
"165",165,0.9,35,0.661059391956448,0.652987952432319
"166",166,0.9,30,0.661059283590499,0.652822079002949
"167",167,0.9,25,0.661058081789384,0.652589856201831
"168",168,0.9,20,0.661044753078395,0.652241522000154
"169",169,0.9,15,0.660896869916718,0.651660964997359
"170",170,0.9,10,0.659248712077929,0.650499850991769
"171",171,0.9,5,0.639948353719467,0.647016508974999
"172",172,0.95,45,0.67767322010833,0.667674384711724
"173",173,0.95,40,0.67767321924224,0.667575972956659
"174",174,0.95,35,0.677673209637162,0.667449443557289
"175",175,0.95,30,0.677673103115177,0.667280737691462
"176",176,0.95,25,0.677671921763892,0.667044549479304
"177",177,0.95,20,0.677658819840568,0.666690267161067
"178",178,0.95,15,0.677513451246164,0.666099796630673
"179",179,0.95,10,0.67589311157661,0.664918855569885
"180",180,0.95,5,0.656892107165729,0.661376032387519
"181",181,1,45,0.693147180475805,0.681255897636517
"182",182,1,40,0.693147179626811,0.681155991790566
"183",183,1,35,0.693147170211328,0.681027541417201
"184",184,1,30,0.693147065791983,0.680856274252714
"185",185,1,25,0.693145907759313,0.680616500222433
"186",186,1,20,0.693133064440752,0.68025683917701
"187",187,1,15,0.692990563492526,0.679657404101306
"188",188,1,10,0.691401985177186,0.678458533949899
"189",189,1,5,0.672747499542829,0.674861923495675
"190",190,1.05,45,0.707571567533585,0.694032606851903
"191",191,1.05,40,0.70757156670343,0.693931352057803
"192",192,1.05,35,0.707571557496874,0.693801167322533
"193",193,1.05,30,0.70757145539456,0.693627587675505
"194",194,1.05,25,0.707570323058156,0.693384576169666
"195",195,1.05,20,0.707557764714582,0.693020058910908
"196",196,1.05,15,0.707418424067943,0.692412530146312
"197",197,1.05,10,0.705864878122423,0.691197472617119
"198",198,1.05,5,0.68759636767654,0.68755230002954
"199",199,1.1,45,0.721029412700132,0.706074289525388
"200",200,1.1,40,0.721029411890239,0.705971819420546
"201",201,1.1,35,0.721029402908386,0.705840072142891
"202",202,1.1,30,0.721029303298077,0.705664409106018
"203",203,1.1,25,0.721028198598431,0.705418480854397
"204",204,1.1,20,0.72101594675176,0.705049588476964
"205",205,1.1,15,0.720880005277302,0.704434767847909
"206",206,1.1,10,0.719364164230458,0.7032051265898
"207",207,1.1,5,0.701514201273588,0.699516202815474
"208",208,1.15,45,0.733597063323001,0.717442841662774
"209",209,1.15,40,0.733597062534508,0.717339279680279
"210",210,1.15,35,0.733597053789979,0.717206128559928
"211",211,1.15,30,0.733596956811635,0.717028593732793
"212",212,1.15,25,0.733595881300951,0.716780044974804
"213",213,1.15,20,0.733583953166799,0.716407221837821
"214",214,1.15,15,0.733451601961817,0.715785849942849
"215",215,1.15,10,0.731975606591119,0.714543106152906
"216",216,1.15,5,0.714570627548391,0.710814874783075
"217",217,1.2,45,0.745344707740786,0.728193358216363
"218",218,1.2,40,0.745344706974577,0.728088818706625
"219",219,1.2,35,0.745344698477195,0.727954410765533
"220",220,1.2,30,0.745344604239754,0.72777520017741
"221",221,1.2,25,0.745343559126166,0.727524305354038
"222",222,1.2,20,0.745331968104247,0.727147963118981
"223",223,1.2,15,0.745203355931922,0.726520726060551
"224",224,1.2,10,0.743768875658063,0.725266251943692
"225",225,1.2,5,0.72682985975363,0.721502829593115
"226",226,1.25,45,0.75633686028942,0.738375040276757
"227",227,1.25,40,0.756336859546159,0.738269629478431
"228",228,1.25,35,0.756336851303275,0.738134101309155
"229",229,1.25,30,0.756336759888252,0.737953397083453
"230",230,1.25,25,0.756335746075802,0.73770041116747
"231",231,1.25,20,0.756324502193248,0.737320932293497
"232",232,1.25,15,0.756199740399794,0.73668846750354
"233",233,1.25,10,0.754808027896515,0.735423537923628
"234",234,1.25,5,0.738351112242793,0.73162874918389
"235",235,1.3,45,0.766632809233721,0.748031960808688
"236",236,1.3,40,0.766632808513875,0.747925777692343
"237",237,1.3,35,0.766632800530659,0.747789256542757
"238",238,1.3,30,0.766632711995407,0.747607228343309
"239",239,1.3,25,0.766631730120144,0.747352388864081
"240",240,1.3,20,0.766620840431906,0.74697012964524
"241",241,1.3,15,0.766500007387745,0.746333030947171
"242",242,1.3,10,0.765151947916404,0.745058833551034
"243",243,1.3,5,0.749188984504952,0.741236241362621
"244",244,1.35,45,0.776287030387441,0.757203714015655
"245",245,1.35,40,0.776287029691302,0.757096851019481
"246",246,1.35,35,0.776287021971013,0.756959455738685
"247",247,1.35,30,0.776286936351655,0.756776262030958
"248",248,1.35,25,0.776285986814215,0.75651979084014
"249",249,1.35,20,0.776275455764348,0.756135084053913
"250",250,1.35,15,0.776158600871507,0.755493906076868
"251",251,1.35,10,0.77485475680724,0.754211550122778
"252",252,1.35,5,0.759393816437402,0.750364482260508
"253",253,1.4,45,0.785349568983153,0.765925968460172
"254",254,1.4,40,0.785349568310865,0.76581851213368
"255",255,1.4,35,0.785349560855084,0.76568035399962
"256",256,1.4,30,0.785349478169166,0.765496143154206
"257",257,1.4,25,0.785348561164132,0.765238247970627
"258",258,1.4,20,0.785338390911455,0.764851405195258
"259",259,1.4,15,0.785225538215844,0.76420666723631
"260",260,1.4,10,0.78396618919292,0.762917191318413
"261",261,1.4,5,0.769012016959482,0.759048763564723
"262",262,1.45,45,0.793866392165909,0.774230940184302
"263",263,1.45,40,0.793866391517483,0.774122971753292
"264",264,1.45,35,0.793866384326331,0.773984155199136
"265",265,1.45,30,0.793866304575203,0.773799066460262
"266",266,1.45,25,0.793865420117546,0.773539942225838
"267",267,1.45,20,0.793855610828857,0.773151255874201
"268",268,1.45,15,0.793746762272813,0.772503445288141
"269",269,1.45,10,0.792531941340755,0.77120782411602
"270",270,1.45,5,0.778086367920038,0.767320960599657
"271",271,1.5,45,0.801879714310675,0.782147799015583
"272",272,1.5,40,0.801879713686008,0.782039394879444
"273",273,1.5,35,0.80187970675834,0.781900018132978
"274",274,1.5,30,0.801879629929299,0.781714182471025
"275",275,1.5,25,0.80187877787816,0.781454012544291
"276",276,1.5,20,0.801869327991939,0.781063757654189
"277",277,1.5,15,0.80176446633942,0.780413332837353
"278",278,1.5,10,0.800593992488338,0.77911248320368
"279",279,1.5,5,0.786656305110784,0.775209934302663
"280",280,1.55,45,0.809428297202234,0.789703018817246
"281",281,1.55,40,0.809428296601123,0.7895942509879
"282",282,1.55,35,0.809428289934701,0.789454406635884
"283",283,1.55,30,0.80942821600292,0.789267947499861
"284",284,1.55,25,0.809427396082958,0.78900690470943
"285",285,1.55,20,0.809418302546231,0.788615340523784
"286",286,1.55,15,0.809317394010292,0.787962733547707
"287",287,1.55,10,0.808190901393486,0.786657519595552
"288",288,1.55,5,0.794758178067542,0.782741877739089
"289",289,1.6,45,0.81654772696649,0.796920680506404
"290",290,1.6,40,0.816547726388649,0.796811616996721
"291",291,1.6,35,0.816547719980297,0.796671392484271
"292",292,1.6,30,0.816547648910549,0.796484426467671
"293",293,1.6,25,0.816546860731106,0.796222674044431
"294",294,1.6,20,0.816538119211898,0.795830045409572
"295",295,1.6,15,0.816441115811572,0.795175664351472
"296",296,1.6,10,0.815358079965511,0.793866902235273
"297",297,1.6,5,0.802425490220273,0.789940615886675
"298",298,1.65,45,0.823270669503276,0.80382273511161
"299",299,1.65,40,0.823270668948347,0.803713440279922
"300",300,1.65,35,0.823270662794089,0.803572918353467
"301",301,1.65,30,0.823270594542298,0.80338555578486
"302",302,1.65,25,0.823269837614554,0.803123248188811
"303",303,1.65,20,0.823261442692186,0.802729786794737
"304",304,1.65,15,0.823168284363538,0.802074017804613
"305",305,1.65,10,0.822128045699705,0.800762479824366
"306",306,1.65,5,0.809689120840323,0.796827865883625
"307",307,1.7,45,0.829627106041868,0.810429232889545
"308",308,1.7,40,0.829627105509432,0.8103197677459
"309",309,1.7,35,0.829627099604621,0.810179026846928
"310",310,1.7,30,0.829627034119241,0.809991372314966
"311",311,1.7,25,0.829626307871557,0.809728655970218
"312",312,1.7,20,0.829618253206824,0.809334581453097
"313",313,1.7,15,0.829528869690849,0.808677790591228
"314",314,1.7,10,0.828530654510401,0.807364208867491
"315",315,1.7,5,0.816577530128787,0.803423463696279
"316",316,1.75,45,0.835644550320931,0.816758523506212
"317",317,1.75,40,0.835644549810518,0.816648945985157
"318",318,1.75,35,0.835644544149945,0.816508060600944
"319",319,1.75,30,0.835644481373199,0.816320213421993
"320",320,1.75,25,0.835643785164819,0.816057227371462
