"","Ess","Sum05","Sum10","Sum25","Sum50","Sum75","Sum100","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum750","Sum1000","fEss"
"46",3,1.4416298473422,1.46169211100258,1.46523610620044,1.46548641783162,1.46551306363936,1.46551968428269,1.46552312798215,1.46552397502051,1.46552427830418,1.46552441281321,1.46552451994123,1.4655245581949,1.4655245865009,1.46552459340571,1.45798749421597
"47",3.2,1.42895284225002,1.44452253925787,1.44693424446969,1.44707847212618,1.44709207207297,1.44709521571692,1.44709674851556,1.44709709906307,1.44709721816228,1.44709726885105,1.44709730747013,1.44709732055368,1.44709732969822,1.44709733177132,1.43967160894876
"48",3.4,1.41507344905624,1.42712293415158,1.42876062533474,1.42884350492307,1.4288504225818,1.42885190981611,1.42885258974155,1.42885273428707,1.428852780882,1.42885279991115,1.42885281378238,1.42885281824047,1.42885282118465,1.42885282180481,1.42183022714128
"49",3.6,1.40043586486422,1.40973901654214,1.41084916668149,1.41089668477324,1.41090019299456,1.41090089434031,1.41090119504906,1.4109012544605,1.41090127262957,1.41090127974938,1.41090128471572,1.41090128622976,1.41090128717485,1.41090128735978,1.40449988181094
"50",3.8,1.38537876239202,1.39254709819189,1.39329856044871,1.39332575186517,1.39332752638732,1.39332785618982,1.3933279888376,1.39332801318797,1.39332802025201,1.39332802290797,1.39332802468106,1.39332802519374,1.39332802549634,1.39332802555132,1.38770214961309
"51",4,1.37015918353322,1.3756731133542,1.37618117621998,1.37619671045742,1.37619760598292,1.3761977606799,1.37619781905915,1.37619782901431,1.3761978317536,1.37619783274174,1.37619783337317,1.37619783354632,1.37619783364299,1.3761978336593,1.3714480746164
"52",4.2,1.3549709728942,1.35920609983779,1.35954926400167,1.3595581261065,1.35955857712237,1.35955864952141,1.35955867516252,1.35955867922335,1.3595586802831,1.35955868064985,1.35955868087421,1.35955868093256,1.35955868096337,1.3595586809682,1.35574122565026
"53",4.4,1.3399590206896,1.34320783594584,1.34343943358829,1.34344448322094,1.3434447099576,1.34344474377244,1.34344475501418,1.34344475666731,1.34344475707643,1.34344475721226,1.34344475729182,1.34344475731143,1.34344475732124,1.34344475732267,1.34057983883384
"54",4.6,1.32523028484565,1.32771979816801,1.32787599592635,1.32787887022771,1.32787898403049,1.32787899979544,1.32787900471622,1.32787900538797,1.32787900554561,1.32787900559581,1.32787900562398,1.32787900563056,1.32787900563367,1.3278790056341,1.32595833749578
"55",4.8,1.31086233408808,1.31276823775958,1.31287352463014,1.31287515925071,1.31287521628804,1.31287522362581,1.31287522577666,1.31287522604918,1.31287522610982,1.31287522612834,1.3128752261383,1.3128752261405,1.31287522614149,1.31287522614162,1.31186842211159
"56",5,1.29690997999704,1.2983679254773,1.29843886269718,1.29843979159312,1.29843982014305,1.29843982355332,1.29843982449224,1.29843982460263,1.29843982462592,1.29843982463274,1.29843982463626,1.29843982463699,1.2984398246373,1.29843982463734,1.29829985938093
"57",3.5,1.40782610080691,1.41841662337391,1.41976525273788,1.41982802485363,1.41983295289244,1.41983397458245,1.41983442691143,1.41983451961588,1.41983454872334,1.41983456036769,1.41983456867077,1.41983457126979,1.41983457293846,1.41983457327724,1.41309953573895
"58",4.5,1.33255379973256,1.33539809055975,1.33558830239877,1.33559211260248,1.33559227326694,1.33559229636064,1.33559230379966,1.33559230485369,1.33559230510771,1.33559230519031,1.33559230523765,1.33559230524902,1.33559230525455,1.33559230525532,1.33320206784987
"59",6,1.23427014027475,1.234648799073,1.2346586033475,1.23465865793418,1.23465865881764,1.23465865889026,1.23465865890492,1.2346586589061,1.23465865890629,1.23465865890634,1.23465865890636,1.23465865890636,1.23465865890636,1.23465865890636,1.2378450072854
"60",7,1.18365635523395,1.18375390275622,1.18375525274986,1.18375525593066,1.18375525595751,1.18375525595903,1.18375525595925,1.18375525595926,1.18375525595927,1.18375525595927,1.18375525595927,1.18375525595927,1.18375525595927,1.18375525595927,1.18846487645267
"61",8,1.14363039967288,1.14365544649117,1.14365563217166,1.14365563235624,1.14365563235704,1.14365563235707,1.14365563235708,1.14365563235708,1.14365563235708,1.14365563235708,1.14365563235708,1.14365563235708,1.14365563235708,1.14365563235708,1.14848091953652
"62",9,1.11224928268863,1.11225570846617,1.11225573400446,1.11225573401515,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11225573401518,1.11635107836384
"63",10,1.08772669334397,1.08772834253933,1.08772834605334,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.08772834605396,1.09071399720618
