"","Ess","Sum10","Sum25","Sum50","Sum75","Sum100","Sum125","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum600","Sum750","Sum1000","Sum1250","Sum1500","Sum2000"
"32",1.3,0.800074485558761,0.8007699105608,0.800808195254135,0.800811592710242,0.800812350147339,0.800812602268211,0.800812707758155,0.800812786613673,0.800812812710517,0.800812823590637,0.800812831698739,0.800812834374234,0.800812835487663,0.800812836191889,0.800812836589101,0.80081283671994,0.80081283677433,0.800812836814764
"33",1.35,0.815250602448036,0.815896284230636,0.815930379320196,0.81593331407609,0.815933956606583,0.815934167701985,0.815934255123572,0.815934319757118,0.815934340867965,0.815934349579007,0.815934355999365,0.815934358090201,0.815934358951368,0.81593435949068,0.815934359791154,0.815934359888831,0.815934359929016,0.81593435995856
"34",1.4,0.829710647917051,0.830309385351685,0.830339709923697,0.830342241593951,0.830342785910766,0.830342962415719,0.830343034764809,0.830343087669577,0.830343104723783,0.830343111688658,0.830343116765693,0.830343118397407,0.830343119062558,0.830343119475012,0.830343119701999,0.830343119774818,0.830343119804469,0.83034311982603
"35",1.45,0.843486080181839,0.844040636071458,0.844067574691185,0.844069755919542,0.844070216454323,0.844070363850091,0.844070423649386,0.844070466899215,0.844070480658865,0.844070486220535,0.844070490230253,0.844070491502052,0.84407049201515,0.844070492330188,0.844070492501445,0.844070492555663,0.844070492577512,0.844070492593225
"36",1.5,0.856606894063055,0.857119970879042,0.85714387491257,0.857145752030378,0.857146141221904,0.857146264164029,0.857146313531996,0.857146348847411,0.857146359935862,0.857146364371778,0.857146367534842,0.857146368524946,0.857146368920284,0.857146369160629,0.857146369289686,0.85714636933001,0.857146369346094,0.857146369357533
"37",1.55,0.869101698685958,0.869575919977881,0.869597109243461,0.869598722904004,0.869599051444158,0.869599153876685,0.869599194587942,0.869599223392981,0.869599232318961,0.869599235853082,0.869599238345533,0.869599239115485,0.869599239419752,0.869599239602913,0.869599239700062,0.869599239730017,0.869599239741839,0.869599239750158
"38",1.6,0.880997790344207,0.88143568687019,0.881454451496955,0.88145583727512,0.881456114331611,0.88145619958805,0.881456233125846,0.881456256596625,0.881456263774454,0.881456266587199,0.881456268549203,0.881456269147339,0.881456269381272,0.881456269520711,0.881456269593768,0.881456269615997,0.881456269624682,0.881456269630724
"39",1.65,0.892321220872728,0.89272522063987,0.892741823040201,0.892743011991125,0.89274324540723,0.892743316299104,0.89274334390063,0.892743363006607,0.89274336877308,0.892743371009523,0.892743372552488,0.892743373016699,0.892743373196382,0.892743373302433,0.892743373357319,0.8927433733738,0.892743373380173,0.892743373384559
"40",1.7,0.903096861847835,0.903469283373828,0.903483960258373,0.903484979431884,0.903485175904148,0.903485234798142,0.903485257493425,0.903485273032279,0.903485277660699,0.903485279437298,0.903485280649626,0.903485281009571,0.90348528114746,0.903485281228042,0.903485281269239,0.903485281281446,0.903485281286117,0.903485281289296
"41",1.75,0.913348464907923,0.91369151311967,0.913704477502127,0.913705350412006,0.913705515647274,0.913705564532091,0.913705583177209,0.9137055958042,0.913705599515993,0.913705600926087,0.913705601877821,0.913705602156681,0.913705602262405,0.913705602323584,0.913705602354481,0.913705602363516,0.913705602366937,0.913705602369239
"42",1.8,0.923098718465256,0.92341448274008,0.92342592589325,0.923426672941951,0.923426811795341,0.923426852339339,0.923426867644675,0.923426877897254,0.923426880871552,0.923426881989843,0.9234268827364,0.923426882952266,0.923426883033264,0.923426883079674,0.923426883102827,0.923426883109508,0.923426883112011,0.923426883113676
"43",1.85,0.932369301058502,0.932659754990549,0.93266984832643,0.932670487186946,0.932670603782473,0.932670637383162,0.932670649937341,0.932670658255708,0.932670660637228,0.932670661523423,0.932670662108594,0.93267066227557,0.932670662337577,0.932670662372757,0.932670662390093,0.93267066239503,0.932670662396861,0.932670662398068
"44",1.9,0.941180931576439,0.941447934116855,0.941456830972429,0.941457376929698,0.941457474765279,0.941457502591658,0.941457512881751,0.941457519625986,0.941457521531494,0.941457522233255,0.941457522691599,0.941457522820664,0.941457522868097,0.941457522894745,0.941457522907716,0.941457522911362,0.941457522912701,0.941457522913572
"45",1.95,0.949553416565719,0.949798714241596,0.949806551558787,0.949807017813443,0.949807099851956,0.949807122880614,0.949807131309152,0.949807136773437,0.949807138297037,0.949807138852367,0.94980713921113,0.949807139310823,0.949807139347084,0.949807139367255,0.949807139376954,0.949807139379643,0.949807139380622,0.949807139381251
"46",2,0.957505694819329,0.957730924784661,0.957737824678217,0.957738222615687,0.957738291363672,0.95773831040947,0.957738317308729,0.95773832173314,0.957738322950586,0.957738323389754,0.95773832367039,0.957738323747347,0.957738323775049,0.957738323790307,0.957738323797556,0.957738323799539,0.957738323800252,0.957738323800707
"47",2.2,0.985463434710597,0.985622715228556,0.985626838539562,0.985627048491225,0.985627082197312,0.985627091056113,0.985627094135352,0.985627096026057,0.98562709651948,0.98562709669024,0.985627096794706,0.985627096821871,0.985627096831251,0.985627096836218,0.985627096838466,0.98562709683905,0.985627096839252,0.985627096839374
"48",2.4,1.00801400780372,1.00812587562453,1.00812832188882,1.00812843179462,1.00812844818774,1.00812845227483,1.00812845363792,1.00812845443942,1.00812845463777,1.00812845470363,1.0081284547422,1.00812845475172,1.00812845475487,1.00812845475647,1.00812845475716,1.00812845475733,1.00812845475739,1.00812845475742
"49",2.5,1.01754077011919,1.0176343174049,1.01763619730054,1.0176362766201,1.01763628802294,1.01763629079176,1.01763629169628,1.01763629221677,1.01763629234221,1.017636292383,1.01763629240637,1.01763629241199,1.01763629241381,1.01763629241472,1.0176362924151,1.01763629241519,1.01763629241522,1.01763629241524
"50",2.55,1.02191033738465,1.02199584082457,1.0219974879465,1.0219975552929,1.02199756479753,1.02199756707512,1.02199756781151,1.0219975682307,1.02199756833039,1.02199756836247,1.02199756838066,1.02199756838497,1.02199756838636,1.02199756838704,1.02199756838732,1.02199756838739,1.02199756838741,1.02199756838742
